tipo,Nombre_de_la_Serie,valor,categoria
Campeche,2012/06,23,estado
Campeche,2012/07,31,estado
Campeche,2012/08,22,estado
Campeche,2012/09,12,estado
Campeche,2012/10,27,estado
Campeche,2012/11,7,estado
Campeche,2012/12,0,estado
Campeche,2013/01,0,estado
Campeche,2013/02,0,estado
Campeche,2013/03,0,estado
Campeche,2013/04,0,estado
Campeche,2013/05,7,estado
Campeche,2013/06,2,estado
Campeche,2013/07,5,estado
Campeche,2013/08,18,estado
Campeche,2013/09,17,estado
Campeche,2013/10,10,estado
Campeche,2013/11,6,estado
Campeche,2013/12,21,estado
Campeche,2014/01,3,estado
Campeche,2014/02,4,estado
Campeche,2014/03,7,estado
Campeche,2014/04,15,estado
Campeche,2014/05,14,estado
Campeche,2014/06,16,estado
Campeche,2014/07,16,estado
Campeche,2014/08,13,estado
Campeche,2014/09,17,estado
Campeche,2014/10,22,estado
Campeche,2014/11,26,estado
Campeche,2014/12,26,estado
Campeche,2015/01,0,estado
Campeche,2015/02,3,estado
Campeche,2015/03,9,estado
Campeche,2015/04,8,estado
Campeche,2015/05,24,estado
Campeche,2015/06,11,estado
Campeche,2015/07,2,estado
Campeche,2015/08,16,estado
Campeche,2015/09,19,estado
Campeche,2015/10,18,estado
Campeche,2015/11,15,estado
Campeche,2015/12,8,estado
Campeche,2016/01,1,estado
Campeche,2016/02,18,estado
Campeche,2016/03,9,estado
Campeche,2016/04,16,estado
Campeche,2016/05,9,estado
Campeche,2016/06,10,estado
Campeche,2016/07,24,estado
Campeche,2016/08,11,estado
Campeche,2016/09,25,estado
Campeche,2016/10,22,estado
Campeche,2016/11,23,estado
Campeche,2016/12,20,estado
Campeche,2017/01,0,estado
Campeche,2017/02,25,estado
Campeche,2017/03,4,estado
Campeche,2017/04,22,estado
Campeche,2017/05,27,estado
Campeche,2017/06,9,estado
Campeche,2017/07,1,estado
Campeche,2017/08,10,estado
Campeche,2017/09,5,estado
Campeche,2017/10,8,estado
Campeche,2017/11,3,estado
Campeche,2017/12,13,estado
Campeche,2018/01,1,estado
Campeche,2018/02,0,estado
Campeche,2018/03,15,estado
Campeche,2018/04,2,estado
Campeche,2018/05,3,estado
Campeche,2018/06,5,estado
Campeche,2018/07,1,estado
Campeche,2018/08,2,estado
Campeche,2018/09,18,estado
Campeche,2018/10,3,estado
Campeche,2018/11,3,estado
Campeche,2018/12,0,estado
Campeche,2019/01,0,estado
Campeche,2019/02,0,estado
Campeche,2019/03,0,estado
Campeche,2019/04,0,estado
Campeche,2019/05,3,estado
Campeche,2019/06,3,estado
Campeche,2019/07,3,estado
Campeche,2019/08,0,estado
Campeche,2019/09,0,estado
Campeche,2019/10,0,estado
Campeche,2019/11,0,estado
Campeche,2019/12,0,estado
Campeche,2020/01,0,estado
Campeche,2020/02,0,estado
Campeche,2020/03,0,estado
Campeche,2020/04,0,estado
Campeche,2020/05,0,estado
Campeche,2020/06,0,estado
Campeche,2020/07,0,estado
Campeche,2020/08,0,estado
Campeche,2020/09,0,estado
Chiapas,2012/01,4,estado
Chiapas,2012/02,78,estado
Chiapas,2012/03,183,estado
Chiapas,2012/04,93,estado
Chiapas,2012/05,100,estado
Chiapas,2012/06,360,estado
Chiapas,2012/07,131,estado
Chiapas,2012/08,149,estado
Chiapas,2012/09,210,estado
Chiapas,2012/10,54,estado
Chiapas,2012/11,18,estado
Chiapas,2012/12,0,estado
Chiapas,2013/01,409,estado
Chiapas,2013/02,25,estado
Chiapas,2013/03,251,estado
Chiapas,2013/04,191,estado
Chiapas,2013/05,163,estado
Chiapas,2013/06,68,estado
Chiapas,2013/07,75,estado
Chiapas,2013/08,37,estado
Chiapas,2013/09,10,estado
Chiapas,2013/10,37,estado
Chiapas,2013/11,70,estado
Chiapas,2013/12,259,estado
Chiapas,2014/01,70,estado
Chiapas,2014/02,139,estado
Chiapas,2014/03,62,estado
Chiapas,2014/04,76,estado
Chiapas,2014/05,100,estado
Chiapas,2014/06,93,estado
Chiapas,2014/07,29,estado
Chiapas,2014/08,167,estado
Chiapas,2014/09,114,estado
Chiapas,2014/10,192,estado
Chiapas,2014/11,179,estado
Chiapas,2014/12,114,estado
Chiapas,2015/01,11,estado
Chiapas,2015/02,56,estado
Chiapas,2015/03,69,estado
Chiapas,2015/04,101,estado
Chiapas,2015/05,88,estado
Chiapas,2015/06,37,estado
Chiapas,2015/07,49,estado
Chiapas,2015/08,57,estado
Chiapas,2015/09,120,estado
Chiapas,2015/10,142,estado
Chiapas,2015/11,55,estado
Chiapas,2015/12,106,estado
Chiapas,2016/01,33,estado
Chiapas,2016/02,64,estado
Chiapas,2016/03,55,estado
Chiapas,2016/04,64,estado
Chiapas,2016/05,60,estado
Chiapas,2016/06,42,estado
Chiapas,2016/07,83,estado
Chiapas,2016/08,66,estado
Chiapas,2016/09,86,estado
Chiapas,2016/10,124,estado
Chiapas,2016/11,63,estado
Chiapas,2016/12,3,estado
Chiapas,2017/01,0,estado
Chiapas,2017/02,40,estado
Chiapas,2017/03,71,estado
Chiapas,2017/04,21,estado
Chiapas,2017/05,22,estado
Chiapas,2017/06,67,estado
Chiapas,2017/07,64,estado
Chiapas,2017/08,49,estado
Chiapas,2017/09,30,estado
Chiapas,2017/10,27,estado
Chiapas,2017/11,84,estado
Chiapas,2017/12,36,estado
Chiapas,2018/01,0,estado
Chiapas,2018/02,20,estado
Chiapas,2018/03,5,estado
Chiapas,2018/04,62,estado
Chiapas,2018/05,75,estado
Chiapas,2018/06,63,estado
Chiapas,2018/07,99,estado
Chiapas,2018/08,52,estado
Chiapas,2018/09,31,estado
Chiapas,2018/10,60,estado
Chiapas,2018/11,9,estado
Chiapas,2018/12,0,estado
Chiapas,2019/01,0,estado
Chiapas,2019/02,0,estado
Chiapas,2019/03,0,estado
Chiapas,2019/04,0,estado
Chiapas,2019/05,15,estado
Chiapas,2019/06,20,estado
Chiapas,2019/07,6,estado
Chiapas,2019/08,0,estado
Chiapas,2019/09,0,estado
Chiapas,2019/10,0,estado
Chiapas,2019/11,0,estado
Chiapas,2019/12,0,estado
Chiapas,2020/01,0,estado
Chiapas,2020/02,0,estado
Chiapas,2020/03,0,estado
Chiapas,2020/04,0,estado
Chiapas,2020/05,0,estado
Chiapas,2020/06,0,estado
Chiapas,2020/07,0,estado
Chiapas,2020/08,0,estado
Chiapas,2020/09,0,estado
Chihuahua,2012/01,15,estado
Chihuahua,2012/02,716,estado
Chihuahua,2012/03,"1,006",estado
Chihuahua,2012/04,392,estado
Chihuahua,2012/05,571,estado
Chihuahua,2012/06,649,estado
Chihuahua,2012/07,273,estado
Chihuahua,2012/08,627,estado
Chihuahua,2012/09,893,estado
Chihuahua,2012/10,879,estado
Chihuahua,2012/11,194,estado
Chihuahua,2012/12,0,estado
Chihuahua,2013/01,102,estado
Chihuahua,2013/02,128,estado
Chihuahua,2013/03,464,estado
Chihuahua,2013/04,716,estado
Chihuahua,2013/05,479,estado
Chihuahua,2013/06,386,estado
